海洋馆信息管理,Aquarium information management
修改,Modify
票种,Ticket category
库存紧张,Tight inventory
约 {sum} 人民币,About {sum} CNY
请输入优惠价格,Please enter the discounted price
奖品类型,Prize category
新增奖品,Add a prize
编辑奖品,Edit prize
是否限制兑换次数,Whether to limit redemption times
请选择奖品类型,Please select prize category
关联订单号,Wechat order number
未售出,Not sold
产品信息,Product information
票务系统状态,Ticketing system status
兑换记录详情,Redemption record details
推送邮箱,Push mailbox
你输入的似乎不是一个邮箱,It seems you didn't enter an email address
请上传banner图片,Please upload a banner image
题库列表,Question list
请上传封面图,Please upload a cover image
请上传分享配图,Please upload an image for sharing
海洋馆乐园,Aquarium Paradise
海底商店,Underwater store
全部,All
新增题目,Add question
二维码管理,Inventory management
二维码列表,Inventory list
二维码,QR code
编辑角色,Edit role
优先级,Priority
请输入优先级,Please enter a priority
确定退款,Confirm refund
确定,Confirm
小封面图,Small cover image
未上架,Not on the shelf
跳转页面,Jump to page
示例,Example
至少关联2条题目,Associate at least two questions
请填写默认库存预警值,Please fill in a default weChat store-low inventory value
确认,Confirm
成人票,Adult ticket
儿童票,Child ticket
优惠门票列表,Discounted ticket list
门票详情,Ticket details
奖品详情,Prize details
刷新库存,Refresh inventory
库存量将在5分钟后自动更新数据,Inventory data will be automatically updated 5 minutes later
操作成功,Operation successful
支付时间,Payment time
操作者,Operator
无,N/A
产品,Product
数据导出成功,data exported
编辑产品,Edit product
刷新成功,Refreshed
刷新失败,Failed to refresh
请选择是否促销,Please select whether to offer a discount
是否隐藏,Hidden from webstore
编辑门票,Edit ticket
请选择小封面图,Please select a small cover image
关联项目,Associate item
取消关联,Dissociate item
新增角色,Add a new role
请输入解锁角色需要答对得题目数量,Please enter the number of correct answers required to unlock a role
请输入角色中文名称,Please enter the Chinese name of the role
请输入角色英文名称,Please enter the English name of the role
请上传角色图片,Please upload a picture for the role
请选择正确答案,Please select a correct answer
编辑banner,Edit banner
数据正在导出，请耐心等待,"Data is being exported, please be patient"
请输入英文题目,Please enter an English question
英文题目,English question
权限管理,Permission management
用户列表,User list
进入成员后台,Go to member backend
添加用户,Add user
编辑用户,Edit user
邮箱,Email
用户名称,Username
新增时间,Add time
"第一步：进入成员后台添加成员——第二步：返回该后台添加用户并设置权限，添加用户填写的邮箱必须是成员后台已存在的邮箱，否则用户无法享用对应的权限","First step: Go to member backend to add a new member - second step: return to the backend to add a user and set permissions. The email you fill out when you are adding a new user must be an email address that already exists in the member backend, otherwise the user cannot have the relevant permission."
权限设置,Permission settings
请输入邮箱地址,Please enter your email address
请输入用户名称,Please enter your username
操作记录,Operation record
选择用户,Select user
选择页面,Select page
操作页面,Operation page
操作时间,Operating time
消息管理,Message management
活动消息发布,Event announcement
消息标题,Message title
发送类型,Sending type
发送时间,Sending time
新增消息,Add a new message
已激活,Activated
未激活,Inactivated
重新发送,Resend
编辑消息,Edit message
中文标题,Chinese title
英文标题,English title
即时发送,Send now
定时发送,Send regularly
每天,Daily
请输入中文标题,Please enter a Chinese title
请输入英文标题,Please enter an English title
请输入内容,Please enter content
该产品已存在，请前往门票管理新增门票,"This product already exists, please go to ticket management to add new tickets"
新增,Add
票种英文描述,Ticket category English description
请输入票种英文描述,Please enter the Ticket category English description
温馨提示,Tips
温馨提示（英文）,Tips (English)
请输入英文提示,Please enter tips in English
请输入温馨提示,Please enter tips
立即发送,Send now
模版下载,Download template
添加权限,Add permissions
勾选后，该用户即可有权查看到对应的页面，并进行新增、编辑等操作,Once ticked，the user will have the permissions to view the corresponding page，and make additions and do editings，etc.
确定后，该用户即可有权查看{pages}页面，并进行新增、编辑等操作,Once confirmed，the user will have the permissions to view the {pages}，and make additions and do editings，etc.
答案图片,Picture for the answer
请上传答案图片,Please upload an answer picture
退款时间,Refund time
已发送,Sent
未发送,Unsent
即时发送,Send now
定时发送,Send on time
请选择发送类型,Please choose a sending method
请输入用户邮箱,Please enter the user email
支付流水号,Payment transaction number
退款流水号,Refund transaction number
退款备注,Refund note
至少要选择一项,At least one item needs to be selected
至少关联2条题目,Associate at least 2 questions
优先按天筛选,Time priority by Day.
价格,Price
过期时间,Expire date
是否售出,Whether it is sold
退出登录,Sign out
微信用户列表,WeChat user list
请输入用户昵称,Please enter a user nickname
用户昵称,Nickname
最近登录时间,Recent login time
最近 7 天,Last 7 days
最近 30 天,Last 30 days
抽奖管理,Lottery management
抽奖列表,Lottery list
奖品列表,Prize list
抽奖入口,Lottery entry
开启中,Currently open
更改,Change
新增抽奖,Add a lottery
开始时间,Starting time
结束时间,End time
活动状态,Event status
未开始,It has not started
进行中,It has started
已开奖,Prize announced
奖品名称,Prize name
英文名称,English name
参与人数,The number of participants
抽奖人数,The number of people entered the draws
实际中奖,Number of winners
操作,Operate
编辑,Edit
删除,Delete
查看中奖信息,View lottery results
微信昵称,WeChat nickname
姓名,Full name
电话号码,Mobile number
省份,Province
城市,City
地区,District
详情地址,Address
抽奖开始时间,Starting time of the draw
抽奖结束时间,End time of the draw
奖品,Prize
中奖人数,The number of winners
保存,Save
取消,Cancel
新增奖品,Add a new prize
奖品类型,Prize type
图片上传,Upload a picture
实物,Physical item
虚拟奖品（海底商店券）,Virtual prize (Underwater store coupon)
关联海底商店物品,Associate underwater store items
不关联,Not associated
商店兑换券,Store voucher
门票优惠券,Entry ticket coupon
购票方式,Ticket purchase method
关联券,Associated coupon
门票类型,Ticket type
普通门票,Regular ticket
特殊门票,Special ticket
助力活动,Additional activity
抽奖活动,Lottery
默林分享,Molin share
默林分享（小程序分享）,Molin share (MiniApp share)
是否折扣优惠类门票,Is this a discounted ticket
请选择是否折扣优惠类门票,Please select whether you have a discounted ticket
折扣优惠价格,Discounted price
请输入折扣价格,Please enter the discounted price
门票类型,Ticket type
请选择门票类型,Please select your ticket type
特殊门票类型,Special ticket type
请选择特殊门票类型,Please select your special ticket type
分享-折扣票,Share - discounted ticket
活动-折扣票,Promotion - discounted ticket
活动-买一送一票,Promotion - buy one get one free
活动-赠送票,Promotion - Gift ticket
绑定赠送票,Associate your gift ticket
请选择赠送票,Please select your gift ticket
默林游助力活动,Merlinmagic
抽奖活动,Luckydraw
曼谷分享,SLBK share
默林乐高商店,Merlin Lego Store
乐高商店信息管理,LLJ wechat store general information
过期提醒,Expiration reminder
启用门票过期提醒功能,AEnable weChat store expiry alert
设置门票剩余有效天数,Days before expiry date
门票过期提示邮箱,Alert information mailbox
请填写门票剩余有效天数,Please enter the remaining days before ticket expiration
闭园日期,Park closure date
请选择闭园日期,Please select the closing date
已选择闭园日期,Closing date selected
请勿重复选择,Please do not select again
贴纸管理,Sticker management
贴纸列表,Sticker list
新增贴纸,Add sticker
点击图片下载小程序二维码,Click on the image to download the MiniApp QR code
确认删除,Confirm you want to delete
是否需要解锁,Does it need to be unlocked
展示小图,Show small image
解锁大图,Unlock large image
解锁方式,Unlocking method
扫码解锁,Scan QR code to unlock
分享解锁,Share to unlock
扫码地点,Location for scanning QR code
请选择是否需要解锁,Please select whether you need to unlock it
请选择展示小图,Please select to show small image
请选择解锁大图,Please select to unlock large image
请选择解锁方式,Please select an unlocking method
请输入扫码地点,Please enter the location for scanning QR code
园区人流通知,Park flow notification
新增通知,Add a new message
普通奖品,Lucky draw prize
新人优惠大礼,Welcome offer
排序,Sort
数值越大，显示越靠前,"The larger the value, the higher the display"
兑换份数,"Redemption quantity"
使用时间,"Visit time"
折扣价,Discounted price
